ville,datetime,pm10,pm2_5,nitrogen_dioxide,ozone,collecte_le,indice_qualite,heure
Paris,2026-04-13 00:00:00,24.8,13.0,50.4,24.0,2026-04-14 21:02,Moyen,0
Paris,2026-04-13 01:00:00,24.7,13.7,59.7,19.0,2026-04-14 21:02,Moyen,1
Paris,2026-04-13 02:00:00,22.7,14.9,43.6,20.0,2026-04-14 21:02,Moyen,2
Paris,2026-04-13 03:00:00,23.6,15.5,45.2,17.0,2026-04-14 21:02,Moyen,3
Paris,2026-04-13 04:00:00,25.4,16.5,44.2,14.0,2026-04-14 21:02,Moyen,4
Paris,2026-04-13 05:00:00,26.7,17.4,48.2,10.0,2026-04-14 21:02,Moyen,5
Paris,2026-04-13 06:00:00,28.4,18.3,52.2,6.0,2026-04-14 21:02,Moyen,6
Paris,2026-04-13 07:00:00,29.6,19.7,54.1,1.0,2026-04-14 21:02,Moyen,7
Paris,2026-04-13 08:00:00,32.4,23.7,60.6,2.0,2026-04-14 21:02,Moyen,8
Paris,2026-04-13 09:00:00,35.3,26.2,60.0,4.0,2026-04-14 21:02,Mauvais,9
Paris,2026-04-13 10:00:00,34.1,27.2,64.1,7.0,2026-04-14 21:02,Mauvais,10
Paris,2026-04-13 11:00:00,31.8,25.8,60.8,11.0,2026-04-14 21:02,Mauvais,11
Paris,2026-04-13 12:00:00,27.5,23.8,41.5,36.0,2026-04-14 21:02,Moyen,12
Paris,2026-04-13 13:00:00,23.5,18.0,37.1,53.0,2026-04-14 21:02,Moyen,13
Paris,2026-04-13 14:00:00,18.0,15.3,37.4,60.0,2026-04-14 21:02,Moyen,14
Paris,2026-04-13 15:00:00,12.5,11.2,24.1,57.0,2026-04-14 21:02,Moyen,15
Paris,2026-04-13 16:00:00,9.9,7.9,18.7,62.0,2026-04-14 21:02,Bon,16
Paris,2026-04-13 17:00:00,10.0,7.1,14.7,69.0,2026-04-14 21:02,Bon,17
Paris,2026-04-13 18:00:00,10.0,6.2,14.0,69.0,2026-04-14 21:02,Bon,18
Paris,2026-04-13 19:00:00,8.9,7.2,17.7,67.0,2026-04-14 21:02,Bon,19
Paris,2026-04-13 20:00:00,11.1,8.9,26.2,59.0,2026-04-14 21:02,Bon,20
Paris,2026-04-13 21:00:00,12.6,8.6,41.3,41.0,2026-04-14 21:02,Bon,21
Paris,2026-04-13 22:00:00,13.7,9.2,43.7,33.0,2026-04-14 21:02,Bon,22
Paris,2026-04-13 23:00:00,14.8,11.0,42.3,35.0,2026-04-14 21:02,Moyen,23
Paris,2026-04-14 00:00:00,14.8,12.1,41.6,31.0,2026-04-14 21:02,Moyen,0
Paris,2026-04-14 01:00:00,14.8,11.6,38.0,29.0,2026-04-14 21:02,Moyen,1
Paris,2026-04-14 02:00:00,16.1,12.7,36.6,25.0,2026-04-14 21:02,Moyen,2
Paris,2026-04-14 03:00:00,15.7,12.2,31.8,21.0,2026-04-14 21:02,Moyen,3
Paris,2026-04-14 04:00:00,15.6,13.7,33.0,18.0,2026-04-14 21:02,Moyen,4
Paris,2026-04-14 05:00:00,16.3,14.5,34.2,14.0,2026-04-14 21:02,Moyen,5
Paris,2026-04-14 06:00:00,18.6,16.8,45.4,2.0,2026-04-14 21:02,Moyen,6
Paris,2026-04-14 07:00:00,23.6,17.5,47.1,1.0,2026-04-14 21:02,Moyen,7
Paris,2026-04-14 08:00:00,30.4,19.7,65.3,1.0,2026-04-14 21:02,Moyen,8
Paris,2026-04-14 09:00:00,33.7,22.0,63.8,5.0,2026-04-14 21:02,Moyen,9
Paris,2026-04-14 10:00:00,30.4,20.2,59.4,21.0,2026-04-14 21:02,Moyen,10
Paris,2026-04-14 11:00:00,24.6,18.5,45.6,39.0,2026-04-14 21:02,Moyen,11
Paris,2026-04-14 12:00:00,23.4,15.4,32.4,58.0,2026-04-14 21:02,Moyen,12
Paris,2026-04-14 13:00:00,19.0,11.8,22.2,71.0,2026-04-14 21:02,Moyen,13
Paris,2026-04-14 14:00:00,12.4,8.6,16.2,80.0,2026-04-14 21:02,Bon,14
Paris,2026-04-14 15:00:00,11.5,7.5,14.5,91.0,2026-04-14 21:02,Bon,15
Paris,2026-04-14 16:00:00,11.1,6.7,12.6,101.0,2026-04-14 21:02,Bon,16
Paris,2026-04-14 17:00:00,12.2,6.2,15.0,103.0,2026-04-14 21:02,Bon,17
Paris,2026-04-14 18:00:00,11.8,6.8,19.5,88.0,2026-04-14 21:02,Bon,18
Paris,2026-04-14 19:00:00,11.6,7.3,33.2,84.0,2026-04-14 21:02,Bon,19
Paris,2026-04-14 20:00:00,11.5,9.0,41.3,76.0,2026-04-14 21:02,Bon,20
Paris,2026-04-14 21:00:00,17.0,11.7,65.0,51.0,2026-04-14 21:02,Moyen,21
Paris,2026-04-14 22:00:00,19.9,14.9,58.7,35.0,2026-04-14 21:02,Moyen,22
Paris,2026-04-14 23:00:00,20.0,15.6,51.9,32.0,2026-04-14 21:02,Moyen,23
Paris,2026-04-15 00:00:00,18.6,14.6,45.1,33.0,2026-04-14 21:02,Moyen,0
Paris,2026-04-15 01:00:00,17.3,13.5,37.8,35.0,2026-04-14 21:02,Moyen,1
Paris,2026-04-15 02:00:00,16.3,12.8,28.5,45.0,2026-04-14 21:02,Moyen,2
Paris,2026-04-15 03:00:00,16.8,13.1,21.4,48.0,2026-04-14 21:02,Moyen,3
Paris,2026-04-15 04:00:00,16.6,13.1,19.2,48.0,2026-04-14 21:02,Moyen,4
Paris,2026-04-15 05:00:00,16.4,13.7,21.5,44.0,2026-04-14 21:02,Moyen,5
Paris,2026-04-15 06:00:00,16.9,14.4,28.6,33.0,2026-04-14 21:02,Moyen,6
Paris,2026-04-15 07:00:00,19.3,17.3,34.8,34.0,2026-04-14 21:02,Moyen,7
Paris,2026-04-15 08:00:00,23.7,19.8,49.2,19.0,2026-04-14 21:02,Moyen,8
Paris,2026-04-15 09:00:00,22.3,18.4,41.0,42.0,2026-04-14 21:02,Moyen,9
